crop_size(y_min  y_max  x_min x_max),250,3839,800,1500
frame_number,x,y
0,0,0
1,1772.8858131487889,653.1003460207612
2,1890.2142857142858,939.4285714285714
3,1641.5,377.625
4,1630.0052356020942,589.4450261780105
5,1858.5826086956522,894.591304347826
6,1599.6176470588234,457.02941176470586
7,0,0
8,1751.331081081081,603.7702702702702
9,0,0
10,1631.4923076923078,468.03076923076924
11,0,0
12,1819.1925241110341,2168.80364631668
13,0,0
14,0,0
15,0,0
16,1592.5,495.0
17,0,0
18,0,0
19,0,0
20,0,0
21,1595.7619047619048,496.5238095238095
22,0,0
23,0,0
24,0,0
25,0,0
26,1601.5,496.5
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,1600.5,498.0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,1603.2058823529412,497.88235294117646
65,1690.2,457.0
66,1617.54,478.94
67,0,0
68,1616.5,483.8571428571429
69,1603.2368421052631,526.5
70,1770.4074074074074,1991.2407407407406
71,1775.211356466877,2115.2460567823346
72,1860.6759581881533,2986.756097560976
73,1931.5029940119762,3810.8922155688624
74,1853.6238532110092,2957.2752293577983
75,1930.3392857142858,3784.529761904762
76,1900.526595744681,3473.686170212766
77,1929.0978260869565,3758.0597826086955
78,1908.7929292929293,3547.2323232323233
79,1895.655,3390.875
80,1927.4829545454545,3718.8977272727275
81,1907.4333333333334,3489.311111111111
82,1926.2941176470588,3692.4823529411765
83,1923.7088607594937,3658.4367088607596
84,1914.9352941176471,3551.2
85,1914.2694610778444,3557.7125748502995
86,1917.4261363636365,3566.1420454545455
87,1910.2251308900522,3495.0994764397906
88,1916.7675675675675,3543.810810810811
89,1880.5515463917527,3181.185567010309
90,1921.7727272727273,3587.2727272727275
91,1850.5515463917527,2870.2680412371133
92,1908.7988165680474,3451.3491124260354
93,1916.8992805755397,3555.9928057553957
94,1751.261744966443,1932.5369127516778
95,1913.0729927007299,3538.043795620438
96,1831.2774869109949,2698.1413612565443
97,1908.5827338129498,3407.956834532374
98,1917.0066225165563,3481.4437086092717
99,1905.642857142857,3369.7912087912086
100,1915.9886363636365,3455.9545454545455
101,1850.837606837607,2833.25641025641
102,1906.7150259067357,3353.4663212435235
103,1907.2323232323233,3341.449494949495
104,1907.2684210526315,3342.1631578947367
105,1913.4450261780105,3390.523560209424
106,1861.9826086956523,2909.8695652173915
107,1912.467741935484,3365.016129032258
108,1911.878787878788,3351.8030303030305
109,1880.4166666666667,2975.814814814815
110,1909.5288461538462,3310.9951923076924
111,1910.323076923077,3312.6666666666665
112,1909.9800995024875,3298.9004975124376
113,1909.5761904761905,3285.638095238095
114,1909.1649484536083,3272.4742268041236
115,1908.7314814814815,3258.875
116,1908.418918918919,3245.5045045045044
117,1907.9004524886877,3232.131221719457
118,1907.4227272727273,3218.5363636363636
119,1906.7747747747749,3205.225225225225
120,1906.358407079646,3191.9646017699115
121,1906.0833333333333,3179.212962962963
122,1905.6008771929824,3165.6315789473683
123,1905.2933333333333,3152.737777777778
124,1904.7381974248926,3139.3090128755366
125,1904.4678111587982,3126.6394849785406
126,1903.75,3113.508474576271
127,1903.377192982456,3100.1491228070176
128,1903.0811965811965,3087.0470085470088
129,1902.319502074689,3073.8215767634856
130,1876.6687631027253,1749.6090146750523
131,1899.5638766519824,3046.9162995594716
132,1898.9184549356223,3033.4163090128754
133,1898.694835680751,3020.8356807511736
134,1898.4072398190046,3007.4117647058824
135,1897.8018018018017,2994.5
136,1897.3603603603603,2980.7297297297296
137,1896.9026548672566,2967.8982300884954
138,1896.6273584905662,2954.693396226415
139,1896.1894273127753,2941.3700440528632
140,1895.5495495495495,2928.171171171171
141,1726.656779661017,1342.2711864406779
142,1894.3924528301886,2900.818867924528
143,1893.3430656934306,2887.598540145985
144,1893.0079365079364,2874.714285714286
145,1892.5514705882354,2862.1029411764707
146,1892.1800766283525,2848.0842911877394
147,1891.5542635658915,2835.186046511628
148,1891.308,2822.776
149,1891.22,2809.864
150,1685.6203271028037,1281.4322429906542
151,1715.1370262390672,1377.6494729760036
152,1814.4982935153585,2016.1399317406144
153,1737.1974522292994,1463.04033970276
154,1890.3915343915344,2749.4550264550267
155,1890.0647058823529,2737.4058823529413
156,1733.0978043912176,1711.5409181636726
157,1716.6086270384008,1541.216201998948
158,1889.4581673306773,2701.1115537848605
159,1888.7528089887642,2687.0112359550562
160,1888.2699619771863,2674.7566539923955
161,1887.3032258064516,2662.7580645161293
162,1887.2714285714285,2648.6642857142856
163,1886.2666666666667,2634.930158730159
164,1886.0724137931034,2623.5862068965516
165,1886.5940594059407,2610.4488448844886
166,1886.4539249146758,2597.419795221843
167,1886.0281124497992,2584.598393574297
168,1885.625,2571.3074324324325
169,1884.5396226415094,2557.9245283018868
170,1884.3357933579337,2545.5055350553507
171,1883.901515151515,2532.030303030303
172,1883.467213114754,2519.27868852459
173,1883.1587301587301,2506.7301587301586
174,1882.7296137339056,2493.4763948497853
175,1882.5258964143427,2480.7051792828684
176,1881.9194915254238,2467.614406779661
177,1881.593886462882,2454.681222707424
178,1881.130612244898,2442.3795918367346
179,1880.755364806867,2429.1287553648067
180,1880.2520325203252,2416.288617886179
181,1880.0082644628098,2403.1115702479337
182,1879.734693877551,2390.918367346939
183,1879.266393442623,2377.77868852459
184,1878.9837398373984,2364.4349593495936
185,1878.868,2352.376
186,1878.1701244813278,2339.738589211618
187,1877.7206477732793,2326.7125506072875
188,1877.3849557522124,2313.9159292035397
189,1876.9399141630902,2300.6738197424893
190,1876.5588235294117,2288.584033613445
191,1876.1022222222223,2275.4977777777776
192,1875.6906779661017,2262.5423728813557
193,1875.3136363636363,2249.8272727272724
194,1874.9162995594713,2237.259911894273
195,1874.7068965517242,2224.5344827586205
196,1874.2627118644068,2212.0466101694915
197,1873.9217391304348,2199.047826086957
198,1873.3470319634703,2186.37899543379
199,1873.0176211453745,2173.9074889867843
200,1872.7705627705627,2161.181818181818
201,1872.40329218107,2148.374485596708
202,1871.9957627118645,2135.60593220339
203,1871.719827586207,2123.301724137931
204,1871.2533936651585,2110.3574660633485
205,1870.8839285714284,2097.9464285714284
206,1870.6538461538462,2084.824786324786
207,1870.0840336134454,2072.7100840336134
208,1869.8205128205127,2059.5641025641025
209,1869.4016064257028,2047.7590361445782
210,1869.3039647577093,2034.7929515418502
211,1868.3876811594203,2022.1485507246377
212,1868.3027888446215,2010.0717131474103
213,1867.893280632411,1997.3399209486165
214,1867.5399239543726,1983.954372623574
215,1867.2807692307692,1972.7653846153846
216,1867.2782608695652,1959.7217391304348
217,1867.0577777777778,1946.8977777777777
218,1866.8333333333333,1933.9956140350878
219,1866.5350877192982,1921.548245614035
220,1866.0043859649122,1908.8552631578948
221,1865.5148936170212,1896.5617021276596
222,1865.3688524590164,1883.717213114754
223,1865.038626609442,1871.3218884120172
224,1864.6398305084745,1859.0381355932204
225,1864.5575221238937,1846.3274336283187
226,1864.095238095238,1833.7835497835497
227,1863.8793103448274,1820.9525862068965
228,1863.4935622317596,1808.2789699570815
229,1863.4364406779662,1796.2796610169491
230,1862.9444444444443,1783.0462962962963
231,1862.8201754385964,1770.688596491228
232,1862.542600896861,1757.9775784753363
233,1861.9779735682819,1745.5594713656387
234,1861.6803652968038,1733.433789954338
235,1861.3666666666668,1720.6619047619047
236,1861.0180995475114,1707.6606334841629
237,1860.7441860465117,1695.6883720930232
238,1860.7407407407409,1682.1944444444443
239,1860.469827586207,1669.8879310344828
240,1860.4327731092437,1657.3487394957983
241,1860.086956521739,1644.2391304347825
242,1860.408560311284,1632.0311284046693
243,1859.9496124031007,1619.5348837209303
244,1859.216814159292,1606.9115044247787
245,1858.9144144144143,1593.7297297297298
246,1858.4137931034484,1581.4088669950738
247,1858.1569506726457,1568.8295964125562
248,1858.0655021834061,1555.598253275109
249,1857.6169154228855,1543.3283582089553
250,1857.2107843137255,1530.3529411764705
251,1856.8981481481483,1517.8101851851852
252,1856.5771144278606,1504.9004975124378
253,1856.304347826087,1492.1690821256038
254,1856.5,1478.908695652174
255,1855.8066037735848,1466.801886792453
256,1855.7281105990783,1453.9400921658987
257,1855.3980582524273,1441.2864077669904
258,1854.9953271028037,1428.4485981308412
259,1854.9174757281553,1415.2135922330096
260,1854.7116279069767,1402.5348837209303
261,1854.1981566820277,1389.3179723502303
262,1854.045871559633,1376.697247706422
263,1853.826291079812,1364.3427230046948
264,1853.4767932489451,1350.831223628692
265,1853.2751091703058,1338.2096069868996
266,1852.8148148148148,1325.388888888889
267,1852.9594594594596,1313.081081081081
268,1852.4600938967137,1299.1643192488264
269,1852.1300448430493,1286.1838565022422
270,1851.8651162790698,1273.6093023255814
271,1851.8506787330316,1260.7239819004526
272,1851.6167400881056,1247.942731277533
273,1851.0688073394494,1235.0779816513761
274,1850.799107142857,1222.2455357142858
275,1850.75,1209.138392857143
276,1850.5433789954338,1195.5433789954338
277,1850.137440758294,1183.5924170616113
278,1849.8447488584475,1170.4657534246576
279,1849.678899082569,1156.9587155963304
280,1849.4857142857143,1144.2666666666667
281,1849.0727272727272,1131.1545454545453
282,1848.811059907834,1117.889400921659
283,1848.3148148148148,1105.2314814814815
284,1848.311320754717,1092.051886792453
285,1848.1196172248804,1079.2105263157896
286,1847.7901785714284,1066.142857142857
287,1847.5777777777778,1052.9822222222224
288,1847.1244444444444,1040.2133333333334
289,1847.032258064516,1026.3824884792625
290,1846.9052132701422,1012.9905213270142
291,1846.3214285714284,1000.6205357142857
292,1846.1063829787233,988.0170212765958
293,1845.858407079646,974.4867256637168
294,1845.916,961.432
295,1845.3927125506073,948.8137651821862
296,1845.1604938271605,935.5102880658436
297,1844.8154506437768,921.8454935622318
298,1844.6077586206898,909.3189655172414
299,1844.4026548672566,896.2654867256637
300,1843.969298245614,883.1228070175439
301,1843.7446808510638,869.9574468085107
302,1843.527659574468,856.5106382978723
303,1843.477551020408,843.4489795918367
304,1843.1455938697318,831.2222222222222
305,1842.991935483871,817.3266129032259
306,1842.8196078431372,804.4156862745098
307,1842.5720000000001,792.016
308,1842.3917910447763,778.1865671641791
309,1842.1325757575758,765.5681818181819
310,1841.888888888889,752.53125
311,1841.8014705882354,739.0955882352941
312,1841.5607142857143,726.625
313,1841.3931297709923,713.3473282442749
314,1841.0528169014085,700.4859154929577
315,1840.5724381625441,687.5088339222615
316,1840.426056338028,674.0316901408451
317,1840.273381294964,660.7230215827337
318,1839.87265917603,647.2584269662921
319,1839.7038327526134,634.9407665505227
320,1839.274647887324,621.2147887323944
321,1839.164835164835,608.2161172161173
322,1838.934306569343,595.5583941605839
323,1838.483870967742,582.673835125448
324,1838.1533101045297,569.3344947735192
325,1838.2122302158273,556.7877697841727
326,1837.8113879003558,542.8576512455516
327,1837.6291390728477,530.3807947019868
328,1837.4653465346535,516.927392739274
329,1837.240506329114,503.88291139240505
330,1837.0208333333333,491.9236111111111
331,1836.748120300752,479.0526315789474
332,1836.2520661157025,466.0123966942149
333,1836.0758122743682,451.30685920577616
334,1836.1068965517243,437.6275862068966
335,1836.096875,425.878125
336,1835.741935483871,412.56774193548387
337,1835.5079872204474,399.5814696485623
338,1835.2755417956655,386.52631578947364
339,1835.1671826625388,373.250773993808
340,1834.8495297805644,360.1442006269592
341,1834.5426829268292,346.5853658536585
342,1834.3608562691131,334.1498470948012
343,1834.1046511627906,320.7005813953488
344,1834.132132132132,307.2972972972973
345,1833.855072463768,294.34492753623186
346,1833.6724137931035,280.57758620689657
347,1833.3184210526315,266.5184210526316
348,1833.1467889908258,260.3440366972477
349,1832.551282051282,253.7051282051282
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,1927.9871794871794,3832.5384615384614
587,1927.8198757763976,3825.0931677018634
588,1927.287234042553,3812.2925531914893
589,1926.7978723404256,3798.186170212766
590,1926.3711340206187,3784.077319587629
591,1925.6666666666667,3770.3830845771145
592,1925.1606217616581,3755.958549222798
593,1924.7173913043478,3741.2934782608695
594,1924.2713567839196,3727.120603015075
595,1923.5979899497488,3712.934673366834
596,1923.0104712041884,3698.9476439790574
597,1922.328282828283,3684.621212121212
598,1921.921052631579,3670.2368421052633
