crop_size(y_min  y_max  x_min x_max),250,3839,900,1600
frame_number,x,y
0,0,0
1,1942.623110151188,1304.8920086393089
2,2096.889012208657,960.6315205327414
3,2037.560411311054,1662.7403598971723
4,2073.771760154739,925.0328820116055
5,2067.1407879490152,891.4640787949015
6,1998.6631097560976,1093.6432926829268
7,2034.506600660066,1222.4488448844886
8,2069.4905956112852,951.8542319749216
9,2116.3859797297296,842.9628378378378
10,2061.2470119521913,924.1952191235059
11,2102.274043433299,974.6452947259565
12,2051.950998185118,986.3030852994556
13,1973.6398104265404,973.042654028436
14,2011.8948051948053,997.0545454545454
15,1971.3278210116732,856.6750972762646
16,2044.0222428174236,862.8962001853569
17,2047.2131386861315,935.4262773722628
18,2004.5729166666667,906.7408854166666
19,2049.5099255583127,843.3858560794044
20,2007.3950749464668,628.2398286937902
21,1805.989964157706,605.1025089605735
22,2004.1214574898786,849.497975708502
23,2034.538596491228,789.4982456140351
24,2082.185,711.7633333333333
25,1820.2668481960518,489.95575221238937
26,1989.4014778325122,780.2733990147783
27,2051.7721774193546,722.7177419354839
28,2017.2604651162792,739.2604651162791
29,2027.9754901960785,710.438725490196
30,2017.8778054862842,706.6359102244389
31,2056.662109375,679.748046875
32,2015.3193473193473,678.7995337995337
33,1891.6666666666667,534.6864111498257
34,2013.548223350254,645.0
35,2078.294117647059,593.4688057040999
36,2058.508348794063,604.6901669758813
37,2051.8456913827654,589.438877755511
38,2022.9741935483871,590.3032258064516
39,2001.1244131455398,582.2840375586854
40,2038.8326530612244,542.6469387755102
41,2085.688245315162,512.9028960817717
42,2059.4325396825398,510.1587301587302
43,2007.5433789954338,520.6004566210046
44,2016.0708860759494,498.06075949367084
45,2002.7742718446602,467.8980582524272
46,2005.5835010060362,455.91348088531186
47,1998.172480620155,441.7480620155039
48,2028.5247524752476,809.9381188118812
49,1974.0257142857142,1540.7428571428572
50,1972.571865443425,1654.059633027523
51,2023.2877604166667,1418.2408854166667
52,1972.852899575672,1447.2079207920792
53,1993.0911680911681,1485.5527065527065
54,1974.7485294117646,1589.3882352941177
55,1943.5182403433478,1190.947424892704
56,1937.677025527192,1501.6182019977803
57,1971.0986132511557,1663.8567026194146
58,1962.4183908045977,1993.328735632184
59,1851.528875379939,2187.866261398176
60,1788.2446043165469,2006.0953237410072
61,2029.705035971223,2011.8441247002397
62,1958.8333333333333,3114.1666666666665
63,2135.298791018998,1635.740932642487
64,1992.9625360230548,2108.8760806916425
65,1919.243654822335,3476.9187817258885
66,1928.2572815533981,3384.5339805825242
67,2090.3744939271255,1712.5587044534414
68,1943.2873134328358,2947.597014925373
69,1968.4301994301995,2884.3703703703704
70,1954.8839779005525,2900.8370165745855
71,2138.54041013269,1659.2147165259348
72,1946.5375494071145,3158.079051383399
73,1936.2442748091603,3188.583969465649
74,1941.8267378000942,2286.2338302212456
75,1926.1756097560976,3226.2487804878047
76,2133.972067039106,1397.8677839851025
77,1924.6567164179105,3184.92039800995
78,2159.1249117854622,1340.0628087508821
79,1912.717041800643,3078.3922829581993
80,2138.438815276695,1531.3943881527669
81,2119.9973045822103,1438.0714285714287
82,2101.034296028881,1806.1191335740073
83,2125.755485893417,1532.2789968652037
84,1805.6968253968255,2696.2936507936506
85,1963.8440905280804,1955.4710813076279
86,1936.1477572559365,2787.970976253298
87,1919.1171428571429,2932.0085714285715
88,2010.5528846153848,1965.9038461538462
89,1935.7853107344633,2914.8446327683614
90,1926.184659090909,2941.338068181818
91,2138.173631123919,1587.8674351585014
92,2064.929173693086,1908.9814502529512
93,1831.472693032015,2255.922787193974
94,1959.1152815013404,2691.3163538873996
95,2051.1800766283523,2026.4885057471265
96,1966.3417721518988,2621.3924050632913
97,1934.246290801187,2807.1157270029676
98,1964.2422680412371,2585.115979381443
99,1932.1325648414986,2789.795389048991
100,1932.5229885057472,2770.2442528735633
101,1932.9567723342939,2752.458213256484
102,1937.5,2706.1882352941175
103,1933.6018518518517,2713.2253086419755
104,2029.6767895878525,2082.70715835141
105,1936.8856209150326,2661.983660130719
106,1910.0949554896142,2429.2878338278933
107,1940.6492307692308,2570.9261538461537
108,1949.467492260062,2537.8947368421054
109,1998.2758620689656,2209.7557471264367
