crop_size(y_min  y_max  x_min x_max),250,3839,800,1500
frame_number,x,y
0,0,0
1,1898.549822964087,565.8796155791604
2,1991.080291970803,551.7080291970804
3,2057.757575757576,420.29292929292933
4,1501.5714285714287,472.7142857142857
5,1854.0344827586207,461.8275862068965
6,1966.6430205949657,477.93363844393593
7,2057.105610561056,479.3927392739274
8,0,0
9,0,0
10,1997.9184890656063,433.3359840954274
11,0,0
12,1834.2925124792014,513.4393283920738
13,2175.8,412.6
14,1987.5,416.66666666666663
15,1987.7777777777778,415.0
16,1979.0,468.0
17,2166.8,473.2
18,1578.0,415.0
19,0,0
20,0,0
21,0,0
22,2174.5,413.0
23,0,0
24,2043.842105263158,428.1842105263158
25,2057.3255813953488,422.6744186046511
26,1578.5,418.0
27,2020.0,421.0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,2017.3333333333335,421.83333333333337
35,2031.5,447.5
36,2016.8253968253969,421.31746031746036
37,2042.659574468085,416.6595744680851
38,1987.5,418.5
39,0,0
40,2071.6470588235293,434.8235294117647
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,1986.2380952380952,416.42857142857144
48,2048.735294117647,414.94117647058823
49,0,0
50,1997.5,429.0625
51,2031.0,445.83333333333337
52,1977.7916666666667,468.29166666666663
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,2015.7058823529412,431.47058823529414
62,1968.62,431.51
63,1980.8,430.31111111111113
64,2033.659420289855,436.2391304347826
65,2050.1944444444443,420.94444444444446
66,1998.2892561983472,438.40495867768595
67,2028.990291262136,421.20388349514565
68,2052.462121212121,445.96212121212125
69,1990.2,475.03999999999996
70,2198.5,373.0
71,2168.0,468.33333333333337
72,2177.5,441.7142857142857
73,0,0
74,0,0
75,1999.5151515151515,349.21212121212125
76,1959.0,267.0
77,0,0
78,0,0
79,0,0
80,2171.25,484.75
81,0,0
82,0,0
83,2199.0,369.0
84,2199.0,368.0
85,1992.790243902439,470.6048780487805
86,2028.8,418.23333333333335
87,2065.0,415.4047619047619
88,2032.922077922078,418.94805194805195
89,2031.9759036144578,419.18072289156623
90,1978.4186046511627,429.0232558139535
91,2068.714285714286,433.19780219780216
92,2007.6666666666667,429.8211382113821
93,1878.0,498.0
94,2044.9689737470167,437.1384248210024
95,2027.8,396.0
96,1895.6,446.2
97,2009.642857142857,306.0
98,1972.6666666666667,347.7037037037037
99,2175.0,531.0
100,0,0
101,0,0
102,2083.273381294964,471.7338129496403
103,1792.0,473.0
104,2082.5,535.0
105,1501.0,476.5
106,0,0
107,0,0
108,1989.5,394.5
109,0,0
110,1961.5625,452.5
111,0,0
112,0,0
113,1991.0,394.0
114,1999.9166666666667,392.04166666666663
115,2035.5,423.0
116,2052.1111111111113,393.77777777777777
117,1931.6666666666667,468.0
118,2043.5483870967741,403.9032258064516
119,2108.0,411.25
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,2043.5977011494251,410.7816091954023
129,2063.262686567164,449.30149253731344
130,1989.8,391.6
131,0,0
132,2026.6,407.73333333333335
133,1881.0,492.5
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,1837.005852231163,481.386978785662
143,1892.7923918894671,506.48178718822896
144,0,0
145,0,0
146,1989.0,387.0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,2183.0,381.5
155,0,0
156,1990.0,387.5
157,0,0
158,1757.421052631579,511.89473684210526
159,1996.1065643648762,467.69735720375104
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,1938.9448476052248,450.03047895500725
166,0,0
167,0,0
168,1834.891304347826,534.891304347826
169,1967.6846153846154,451.45384615384614
170,0,0
171,0,0
172,2004.7272727272727,320.8181818181818
173,1922.248275862069,463.71724137931034
174,0,0
175,0,0
176,2006.909090909091,309.9090909090909
177,2019.2051282051282,433.84188034188037
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,1882.3636363636365,480.1818181818182
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
