crop_size(y_min  y_max  x_min x_max),250,3839,900,1600
frame_number,x,y
0,0,0
1,2104.863529411765,392.48
2,2199.588888888889,392.23333333333335
3,2162.6167763157896,381.86019736842104
4,0,0
5,0,0
6,2098.4116959064327,404.84444444444443
7,1984.8333333333333,409.16666666666663
8,2127.222222222222,360.3333333333333
9,0,0
10,2133.096153846154,323.91346153846155
11,2113.6125461254614,347.99630996309963
12,2125.9529042386184,393.82260596546314
13,1936.0,386.0
14,2002.408163265306,374.1428571428571
15,2051.618226600985,343.115763546798
16,2045.142857142857,380.1428571428571
17,2130.34375,400.125
18,0,0
19,2100.6666666666665,383.03703703703707
20,1936.6666666666667,384.66666666666663
21,2116.242222222222,381.64444444444445
22,1929.375,385.75
23,0,0
24,2232.1559633027523,413.5229357798165
25,2065.7919463087246,369.9365466748017
26,2095.185950413223,317.702479338843
27,2228.5714285714284,339.8571428571429
28,2133.8333333333335,398.5
29,0,0
30,1995.1333333333332,332.4666666666667
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,2208.1111111111113,291.77777777777777
37,2051.7820620284997,379.74224643755235
38,2065.0590416428977,390.7729606389047
39,0,0
40,0,0
41,0,0
42,1929.0,382.44444444444446
43,0,0
44,2160.426470588235,417.7352941176471
45,2231.3333333333335,357.3333333333333
46,0,0
47,0,0
48,1932.0,383.625
49,1992.142857142857,383.57142857142856
50,0,0
51,0,0
52,0,0
53,0,0
54,2055.525905292479,410.1955431754875
55,2175.7818181818184,378.21818181818185
56,0,0
57,0,0
58,0,0
59,0,0
60,2104.1088082901556,415.46632124352334
61,2071.1750972762648,400.5719844357977
62,2117.574074074074,398.6377314814815
63,0,0
64,2171.6,287.2
65,2083.266757865937,412.01915184678523
66,2051.9301378446116,411.1622807017544
67,2037.4285714285716,352.57142857142856
68,2070.0622222222223,337.22222222222223
69,1979.125,368.84375
70,0,0
71,0,0
72,0,0
73,2005.4205128205128,375.5282051282051
74,2065.7150127226464,375.75776081424937
75,2125.0833333333335,291.75
76,2036.1877729257642,353.55021834061137
77,2282.1666666666665,295.6666666666667
78,2088.3333333333335,305.27777777777777
79,2086.3333333333335,283.0
80,1990.7272727272727,373.72727272727275
81,1852.0,250.0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,1942.0,293.75
91,0,0
92,1954.0461538461539,375.5692307692308
93,1929.0,391.5
94,1867.090909090909,264.45454545454544
95,0,0
96,0,0
97,2174.0,250.0
98,0,0
99,0,0
100,0,0
101,0,0
102,2282.0,295.5
103,0,0
104,1935.0,391.0
105,0,0
106,2177.0,250.5
107,1924.0,391.0
108,1940.0,317.75
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,1940.0,391.0
119,1930.0,390.66666666666663
120,2044.625,305.875
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,1931.0,392.0
132,1932.3,384.1
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,1925.0,364.2857142857143
145,0,0
146,1926.611111111111,391.3888888888889
147,0,0
148,2282.0,295.0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,1985.0,390.0
157,1928.0,391.5
158,1970.2,381.4
159,1853.0,250.0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,1853.0,250.0
170,0,0
171,1944.6470588235293,391.5882352941177
172,1953.695652173913,295.95652173913044
173,0,0
174,2024.0,389.0
175,0,0
176,1929.0,388.0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,1919.4736842105262,3832.063157894737
184,1934.4605263157896,3473.6381578947367
185,1918.7908309455588,3775.8481375358165
186,1917.994011976048,3783.7694610778444
187,1917.3661538461538,3762.2553846153846
188,1916.639344262295,3739.5245901639346
189,1915.8668831168832,3718.5454545454545
190,1915.107142857143,3697.103896103896
191,1914.4065573770492,3675.2295081967213
192,1913.7906976744187,3654.4186046511627
193,1913.1308724832215,3633.3389261744965
194,1912.4688644688645,3612.5201465201467
195,1911.6213235294117,3591.5588235294117
196,1911.071186440678,3569.5254237288136
197,1910.854609929078,3515.7872340425533
198,1912.5406360424029,3472.6819787985864
199,1908.958041958042,3507.8636363636365
200,1908.442857142857,3487.1535714285715
201,1907.8345323741007,3466.982014388489
202,1906.894366197183,3447.207746478873
203,1906.230240549828,3426.127147766323
204,1905.7168458781362,3406.4587813620074
205,1905.3393501805053,3386.624548736462
206,1904.5543859649124,3366.080701754386
207,1903.9514563106795,3346.3527508090615
208,1903.322033898305,3327.1186440677966
209,1902.6476868327402,3307.316725978648
210,1910.4571428571428,3163.568253968254
211,1902.156050955414,3257.834394904459
212,1903.7177177177177,3085.1801801801803
213,1900.9642857142858,3210.646103896104
214,1899.640127388535,3208.923566878981
215,1899.0753424657535,3189.75
216,1900.9324758842445,3152.749196141479
217,1898.0287539936103,3152.0926517571884
218,1897.2338461538461,3132.566153846154
219,1896.7781155015198,3114.082066869301
220,1896.2445820433436,3094.650154798762
221,1895.5544871794873,3076.474358974359
222,1895.129746835443,3056.4493670886077
223,1894.7201257861634,3037.5943396226417
224,1897.0194444444444,2850.5777777777776
225,1893.2957317073171,3000.192073170732
226,1897.2075471698113,2888.5251572327043
227,1892.1880877742947,2962.2633228840127
228,1891.8045602605862,2943.8762214983713
229,1891.4933774834437,2924.9238410596026
230,1890.9313725490197,2906.483660130719
231,1890.2953846153846,2887.6184615384614
232,1889.9059561128527,2868.561128526646
233,1889.541935483871,2850.3967741935485
234,1889.0573248407643,2832.5350318471337
235,1888.071661237785,2813.5928338762214
236,1887.7883959044368,2786.8054607508534
237,1889.1164383561645,2759.421232876712
238,1892.6561514195582,2642.299684542587
239,1886.1140939597315,2740.1845637583892
240,1885.5761589403974,2722.235099337748
241,1884.8791946308725,2703.4765100671143
242,1884.5018587360596,2685.5687732342008
243,1884.1598639455783,2667.28231292517
244,1883.6470588235293,2648.885813148789
245,1883.18345323741,2630.931654676259
246,1882.5850340136053,2612.3843537414964
247,1882.4301075268818,2594.8566308243726
248,1882.0149253731342,2577.4477611940297
249,1881.953237410072,2551.3920863309354
250,1883.731543624161,2526.0
251,1881.6914893617022,2485.627659574468
252,1886.5080906148867,2279.8252427184466
253,1880.2553191489362,2473.0106382978724
254,1879.5424354243542,2470.0036900369005
255,1879.4891304347825,2445.1123188405795
256,1879.2286689419795,2413.6313993174062
257,1878.4131944444443,2417.315972222222
258,1877.9690721649486,2399.0171821305844
259,1877.5525423728814,2381.7050847457626
260,1877.6643109540637,2364.5300353356893
261,1877.358306188925,2347.195439739414
262,1878.8327974276526,2317.138263665595
263,1876.83,2299.4166666666665
264,1876.547619047619,2281.316326530612
265,1876.7619047619048,2252.1530612244896
266,1875.6993243243244,2260.793918918919
267,1875.3890784982937,2242.80204778157
268,1875.0204081632653,2225.6700680272106
269,1874.844155844156,2209.1396103896104
270,1874.5676567656765,2191.894389438944
271,1874.2206896551725,2174.5931034482755
272,1873.8817567567567,2157.439189189189
273,1873.578014184397,2140.7198581560283
274,1873.3498349834983,2123.854785478548
275,1873.0766550522649,2106.595818815331
276,1873.013422818792,2089.734899328859
277,1872.921768707483,2072.8639455782313
278,1884.8532934131736,1875.2694610778442
279,1872.4344827586206,2039.1482758620689
280,1872.9967213114755,1995.344262295082
281,1871.9206896551723,2005.448275862069
282,1871.5953177257525,1988.1973244147157
283,1871.3333333333333,1971.4311594202898
284,1871.0756013745704,1954.9037800687286
285,1870.9115646258504,1937.9897959183672
286,1870.7844522968198,1921.0318021201413
287,1870.5650557620818,1904.4907063197027
288,1870.4363636363637,1887.4545454545455
289,1870.140350877193,1869.7649122807018
290,1873.1035598705503,1814.4466019417475
291,1869.887323943662,1836.9471830985915
292,1872.517006802721,1766.6632653061224
293,1869.7923875432525,1804.044982698962
294,1869.542372881356,1786.5966101694914
295,1869.342105263158,1770.0131578947369
296,1869.1182432432433,1753.0574324324325
297,1869.075163398693,1736.424836601307
298,1869.032258064516,1719.683870967742
299,1868.6809210526317,1702.9407894736842
300,1868.7837837837837,1686.212837837838
301,1868.611111111111,1669.141975308642
302,1868.4376996805113,1652.7571884984025
303,1868.5191082802548,1635.6464968152866
304,1868.930693069307,1606.4389438943895
305,1869.076923076923,1586.3878205128206
306,1868.1774193548388,1585.3419354838709
307,1868.0456026058632,1568.1889250814331
308,1868.4676923076922,1547.0307692307692
309,1867.9156626506024,1534.8614457831325
310,1867.8284789644013,1517.5113268608413
311,1867.8496932515336,1501.0613496932515
312,1867.7602523659307,1483.3596214511042
313,1867.8165137614678,1467.1743119266055
314,1867.710610932476,1450.1800643086817
315,1867.6417445482866,1432.8068535825546
316,1867.5858895705521,1415.7453987730062
317,1867.5075987841947,1399.404255319149
318,1873.0054644808743,1311.1174863387978
319,1867.5399449035813,1364.7823691460055
320,1868.581081081081,1339.6324324324323
321,1867.5257452574526,1330.9756097560976
322,1867.3264781491002,1312.688946015424
323,1867.0577889447236,1297.8015075376884
324,1867.3090909090909,1280.1246753246753
325,1867.2710526315789,1263.507894736842
326,1867.1927374301677,1245.5698324022346
327,1867.288770053476,1228.6550802139036
328,1867.154255319149,1211.5053191489362
329,1867.0787401574803,1194.283464566929
330,1868.2072538860102,1175.4689119170985
331,1866.8552278820375,1160.5120643431635
332,1868.5124378109454,1139.2388059701493
333,1866.984962406015,1126.1604010025062
334,1867.037037037037,1109.498765432099
335,1866.965,1091.6599999999999
336,1866.8969849246232,1074.6834170854272
337,1866.746153846154,1057.623076923077
338,1866.8320413436693,1039.7906976744187
339,1866.8883248730965,1022.8350253807107
340,1867.193359375,1001.80859375
341,1866.5148148148148,986.3518518518518
342,1866.128038897893,969.3128038897893
343,1865.6545454545453,953.230303030303
344,1866.330303030303,935.9636363636364
345,1867.2298387096776,917.752688172043
346,1867.5482673267327,899.4529702970297
347,1869.061224489796,882.8341836734694
348,1867.1199494949494,868.4482323232323
349,1867.505698005698,849.1980056980057
350,1867.4859335038363,833.6214833759591
351,1866.2393980848153,816.5704514363885
352,1866.6578212290503,801.336592178771
353,1865.063113604488,784.26507713885
354,1865.6332236842104,766.3519736842105
355,1866.4308300395257,747.7707509881423
356,1866.677354709419,729.8577154308617
357,1866.959745762712,712.4152542372881
358,1867.85162601626,692.4329268292684
359,1867.3722943722944,678.3593073593074
360,1866.9978586723769,662.3490364025696
361,1867.2107438016528,642.9628099173553
362,1867.1019607843136,626.1549019607843
363,1866.9538784067086,610.3438155136269
364,1867.2642998027613,593.0414201183432
365,1867.3833333333332,574.76875
366,1867.2889812889812,558.7692307692307
367,1867.4669509594883,540.8443496801706
368,1867.2740286298567,524.0265848670756
369,1867.412915851272,505.0
370,1867.4460694698355,489.61974405850094
371,1868.2665289256197,472.3677685950413
372,1870.209829867675,455.07939508506615
373,1868.208,437.998
374,1868.5082872928176,419.48802946593
375,1868.7644628099174,404.1735537190083
376,1868.729074889868,385.70264317180613
377,1869.1170212765958,368.163829787234
378,1868.9979879275654,349.63782696177066
379,1869.1115537848605,333.40637450199205
380,1869.728971962617,316.7626168224299
381,1869.5437616387337,299.65735567970205
382,1869.6709796672828,282.67097966728284
383,2004.350092535472,446.592843923504
384,2056.819594912859,373.4729156853509
385,2051.9539607312117,384.0677048070413
386,2213.0,296.5882352941176
387,2117.470070422535,375.2588028169014
388,2077.7988942639945,397.4485141672426
389,2118.032258064516,388.19354838709677
390,2039.0796460176991,373.87610619469024
391,2003.1904761904761,382.1428571428571
392,0,0
393,0,0
394,0,0
395,0,0
396,2049.957816377171,376.9032258064516
397,2050.638594164456,455.1681034482759
398,2085.482887367766,400.0168014934661
399,2031.7200778696406,2220.2435108632953
400,2066.064875466764,1846.759721890441
401,0,0
402,2063.707852193995,387.91801385681293
403,1903.75,410.75
404,2254.125,297.5
405,0,0
406,0,0
407,1901.6,411.4
408,0,0
409,1983.8285714285714,383.45714285714286
410,2032.0433839479392,387.9436008676789
411,2042.67868338558,387.94200626959247
412,2044.267115600449,446.71099887766553
413,2039.6444212721585,430.29822732012514
414,2071.8928571428573,387.28991596638656
415,0,0
416,2046.5358255451713,396.94080996884736
417,2024.0700692041523,391.34429065743944
418,2070.5243902439024,517.4647696476965
419,1938.2857142857142,383.8571428571429
420,2036.6973293768547,391.51038575667656
421,2082.3553299492387,379.4060913705584
422,1926.75,391.90999999999997
423,2039.1304347826087,362.95652173913044
424,2137.75,320.25
425,1918.3333333333333,321.5
426,0,0
427,0,0
428,2255.5,293.0
429,0,0
430,0,0
431,0,0
432,2258.0,293.0
433,0,0
434,1955.0,274.0
435,0,0
436,1817.0,250.0
437,1955.0,391.1
438,0,0
439,0,0
440,0,0
441,1946.0,407.0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,2006.0166666666667,462.51666666666665
455,2261.076923076923,1279.8076923076924
456,2028.2297476759627,502.05444887118193
457,1921.4,383.6
458,2104.8,359.0
459,1953.1666666666667,407.66666666666663
460,2205.04,337.48
461,0,0
462,0,0
463,0,0
464,0,0
465,2035.2666666666667,371.1333333333333
466,0,0
467,1925.5555555555557,377.6984126984127
468,0,0
469,2010.983870967742,421.61290322580646
470,2015.636,394.06399999999996
471,0,0
472,2102.2768729641693,661.0293159609121
473,2143.975,364.875
474,0,0
475,1892.7391304347825,406.52173913043475
476,2238.0,319.0
477,2073.025,408.975
478,0,0
479,1905.0,407.0
480,2036.6,365.1
481,2114.0,3164.0
482,0,0
483,1947.3333333333333,343.3333333333333
484,2167.1111111111113,396.2962962962963
485,2092.0,314.0
486,0,0
487,1669.0,385.0
488,0,0
489,0,0
490,1952.4545454545455,407.3636363636364
491,2202.65625,439.25
492,2162.5,320.0
493,1902.8333333333333,462.66666666666663
494,1906.5,407.0
495,0,0
496,0,0
497,0,0
498,2123.5,454.0
499,2072.205501618123,436.8438511326861
500,2266.157894736842,2843.5394736842104
501,2279.4489795918366,2186.142857142857
502,2045.4276315789473,406.98355263157896
503,2166.628712871287,1199.3118811881188
504,1769.8666666666668,376.4
505,1994.1482758620689,489.56206896551726
506,0,0
507,0,0
508,1977.0,1359.0
509,2139.670731707317,390.0
510,2297.184210526316,3485.0
511,2249.4285714285716,309.07142857142856
512,2062.4037558685445,388.71830985915494
513,2277.8518518518517,3449.5555555555557
514,2158.383720930233,406.1162790697674
515,2064.3,379.05
516,2112.137931034483,326.55172413793105
517,1976.5,379.0
518,1929.5,328.75
519,1999.5,407.48936170212767
520,2003.242105263158,355.2105263157895
521,2009.3333333333333,386.5
522,2268.0714285714284,288.64285714285717
523,2265.5,290.0
524,0,0
525,2220.5,334.5
526,0,0
527,0,0
528,1912.0,310.0
529,0,0
530,0,0
531,0,0
532,0,0
533,2043.8,312.8
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,1957.9,408.2
555,0,0
556,2036.7142857142858,314.0
557,1958.1666666666667,409.83333333333337
558,0,0
559,0,0
560,0,0
561,1957.2857142857142,345.0
562,2136.5,317.0
563,2251.25,315.5833333333333
564,2046.8547062539483,447.36512950094755
565,2068.1952957947256,472.72273699215964
566,2036.876050420168,373.4642857142857
567,2181.8947368421054,345.2894736842105
568,2109.9545454545455,395.76623376623377
569,2006.8333333333333,389.70833333333337
570,2091.944757609921,408.3844419391206
571,2022.2865168539327,463.1179775280899
572,2299.0,676.0
573,2056.7329545454545,413.0113636363636
574,2053.181818181818,373.54545454545456
575,2096.0746268656717,393.7686567164179
576,2237.0,465.7647058823529
577,0,0
578,2111.9638554216867,389.95180722891564
579,2277.2,355.7
580,1862.8392857142858,387.94642857142856
581,1863.75,327.5
582,1983.8775510204082,407.3367346938776
583,2102.5,381.25
584,1982.2962962962963,394.67407407407404
585,1745.7586206896551,380.62068965517244
586,2069.75,333.75
587,2146.727272727273,333.8181818181818
588,2029.888888888889,417.77777777777777
589,2186.0,326.0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,2110.0,381.0
597,1977.0,347.0
598,2200.9375,325.9375
599,0,0
600,1939.5,316.0
601,2289.0,294.0
602,0,0
603,2295.3333333333335,355.1111111111111
604,2074.8984446477584,436.672461116194
605,2061.661224489796,491.51673469387754
606,2208.0418848167537,527.0785340314136
607,2069.048528241846,454.854415274463
608,2062.5280000000002,569.7647999999999
609,2089.8932714617167,426.38283062645013
610,2073.1910499139412,508.2547332185886
611,2279.8333333333335,535.3333333333333
612,2109.3582089552237,682.0995024875622
613,2112.3569131832796,480.9260450160772
614,2053.2542372881358,420.0593220338983
615,2012.3333333333333,556.5501618122978
616,1966.0,368.0
617,2019.4666666666667,1725.7666666666667
618,0,0
619,2010.0,388.0
620,2006.2857142857142,426.3571428571429
621,1977.0,385.0
622,2102.1666666666665,590.5
623,1953.0,325.57142857142856
624,2075.9634146341464,501.0731707317073
625,0,0
626,2225.2666666666664,366.4666666666667
627,1981.6666666666667,347.3333333333333
628,2118.0,383.0
629,2116.2972972972975,393.05405405405406
630,0,0
631,2234.157894736842,321.57894736842104
632,0,0
633,0,0
634,2297.5,355.0
635,2020.842105263158,360.8421052631579
636,1942.0,412.0
637,2299.0,355.0
638,0,0
639,0,0
640,2275.1666666666665,322.6666666666667
641,0,0
642,1942.5,317.0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,1999.1538461538462,388.64102564102564
652,2164.5,317.5
653,2037.5176470588235,435.7102941176471
654,2034.6936488169365,507.92403486924036
655,2088.169458128079,496.2
656,2069.034843205575,440.43118466898954
657,2087.5767195767194,890.1005291005291
658,2081.6685185185183,590.0074074074074
659,2042.9880239520958,615.2514970059881
660,2134.417633410673,446.7354988399072
661,2055.3704735376045,533.6295264623955
662,2024.2578125,827.23046875
663,2146.6926605504586,451.23394495412845
664,2069.5618497109826,563.593063583815
665,2090.0,526.0
666,1867.7692307692307,2099.3846153846152
667,2174.3653846153848,592.4038461538462
668,0,0
669,2031.4574468085107,420.6914893617021
670,2169.0,318.0
671,2087.5,2219.666666666667
672,0,0
673,2167.0,319.0
674,2118.6190476190477,385.7142857142857
675,2122.857142857143,383.57142857142856
676,2037.5,1572.0
677,0,0
678,2060.4625,431.3625
679,2058.5255102040815,373.4744897959184
680,0,0
681,2093.146359048306,412.5969718817592
682,2083.4492440604754,496.5377969762419
683,1973.3333333333333,578.7777777777778
684,2205.285714285714,1358.2857142857142
685,2048.3283582089553,414.98507462686564
686,2022.8095238095239,1136.0
687,2129.781914893617,437.09751773049646
688,2070.8143100511074,581.8909710391822
689,0,0
690,2057.1346153846152,766.7307692307693
691,2110.4864864864867,390.4324324324324
692,0,0
693,2055.328519855596,407.3718411552346
694,0,0
695,2200.6,801.5
696,0,0
697,1946.5,320.25
698,2194.3809523809523,429.4761904761905
699,2132.5,320.0
700,1946.0,318.9375
701,2125.0,384.33333333333337
702,2073.390243902439,401.8536585365854
703,0,0
704,1968.968253968254,368.3492063492064
705,0,0
706,0,0
707,2131.153846153846,363.0
708,0,0
709,2125.285714285714,382.2857142857143
710,2105.0,372.4
711,0,0
712,0,0
713,2145.4285714285716,395.0
714,0,0
715,0,0
716,2124.5,383.66666666666663
717,0,0
718,0,0
719,0,0
720,2080.571100917431,411.58142201834863
721,2054.465147453083,465.7721179624665
722,2149.3333333333335,412.55555555555554
723,2061.728624535316,459.74349442379184
724,2031.3698979591836,766.5960884353741
725,1946.9971346704872,3487.78223495702
726,2000.654692931634,1856.6465816917728
727,1931.344512195122,3581.9054878048782
728,1917.996551724138,3749.365517241379
729,1954.5083333333332,3367.5805555555557
730,1919.0029411764706,3610.6117647058823
731,1996.0787589498807,2830.310262529833
732,1919.620938628159,3675.9025270758125
733,1923.1319444444443,3526.5763888888887
734,1953.7943444730076,2770.483290488432
735,1918.9381107491856,3440.4071661237786
736,1920.3021582733813,3513.0575539568345
737,1927.6074074074074,3410.862962962963
738,1926.246153846154,3421.257692307692
739,1915.5505617977528,3534.629213483146
740,1953.282738095238,2842.9583333333335
741,1918.1376811594203,3298.8514492753625
742,1951.332402234637,2798.4329608938547
743,1943.0462962962963,2915.9166666666665
744,1914.2924187725632,3164.6173285198556
745,1912.0916030534352,3414.4198473282445
746,1914.9619047619049,2945.8253968253966
747,1911.7528957528957,3367.3861003861
