crop_size(y_min  y_max  x_min x_max),250,3839,750,1550
frame_number,x,y
0,0,0
1,0,0
2,0,0
3,1790.75,1872.625
4,1832.7852852852852,1822.6936936936936
5,1805.75,1921.5
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,1778.0,1898.0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,1979.0,1683.5
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1822.0,2109.0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,1832.9323308270677,1983.0902255639098
87,1777.0,1899.75
88,1778.0,1898.0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,1795.0,1904.4285714285713
110,1744.179282868526,2043.819768544868
111,1835.2282180053253,2052.2059388587413
112,2107.03243958954,1525.9346794659605
113,2110.0282805429865,1551.4253393665158
114,2075.812127710269,1771.2052656659519
115,1874.9944380514,2009.9605868814729
116,1951.0068274920345,1760.6936731907147
117,1908.5513705383553,1797.8824689410374
118,1983.7087043952888,1620.8003447285264
119,1939.8363684349433,1895.1960939561889
120,2042.6666666666667,1545.6650326797385
121,1859.5837541163555,2018.9285766556898
122,1858.1092997882035,2022.4402798279957
123,1894.8944549342991,2093.608743401025
124,1952.4322213477024,2185.152751710359
125,1914.224976341268,2711.8953798743055
126,2076.374565972222,1699.4448784722222
127,1943.7474614370979,1965.6594062475776
128,2094.977719655139,1670.3910684878426
129,1922.3711258652352,2093.06136459952
130,2040.0412537917089,1845.0178766430738
131,1902.8269120184013,1972.8390720767472
132,1956.4116609282075,1973.5863187548018
133,1898.688218616516,2088.5725068635593
134,1938.739604861904,2091.7125493199983
135,1887.3349804479203,1993.6564592961251
136,1947.2952894205946,2099.238265874751
137,1869.5843054391357,2049.465848235075
138,1945.6386528367907,2036.0545488627843
139,1893.7326649360934,2110.995468244715
140,1962.8424519093303,2174.577817654773
141,1895.9454953072454,2202.5014627020737
142,1916.1154973579667,2189.8714178269756
143,1860.7181289712046,2107.6254460243917
144,1923.9140370600094,2214.441011526335
145,1926.7402254801916,2312.1492980356747
146,1975.256654840906,2453.4083959642558
147,1941.1516931112672,2372.2809279709586
148,1983.9371689382995,2430.565155036325
149,1906.3117498813372,2325.537186673598
150,1980.1691159204759,2324.860079445836
151,1921.564206780784,2256.780612719646
152,2024.6889572203586,2256.112218909181
153,2014.6154121685488,2128.7927565792747
154,1945.0620179609086,2039.6071843634443
155,2013.1266629552129,2093.9675567756426
156,1737.5046329294369,2013.7390178939866
157,2011.3789554864675,2084.801339985058
158,1940.5982626469086,2094.1424337542885
159,2131.190936670459,2127.4226014410315
160,1917.707218783199,2245.912084324979
161,1996.531998492415,2402.491566946198
162,1919.7025783189288,2277.4764816727366
163,2023.5908900588859,2325.3096988000107
164,1967.6613325231883,2325.6764545409455
165,2055.589283485987,2484.1074563045413
166,1991.9510319896867,2321.8688582326595
167,2052.439644476528,2097.492409032462
168,2014.3901475608723,2150.072440256186
169,2077.0157781862745,2396.7228690087145
170,2057.774513536379,2114.5713620981387
171,1882.66902047816,1855.4289317058408
172,1993.2110721693728,2035.6038909949216
173,2092.8684447512983,2349.120778674992
174,2044.9145243744342,2188.5862216569235
175,1984.882731662451,2189.543113359393
176,1871.9845413947096,1805.3682583304706
177,2107.980738259357,2207.291728403015
178,2051.1390599189067,1851.6469439855834
179,1958.88584209609,2242.1317899262185
180,1845.7635072553257,2847.883914788515
181,2108.2232007288185,2300.8051422208728
182,1719.0212765957447,1680.473404255319
183,1918.988210044626,2278.758490280614
184,2126.0505886958354,2056.6946911981695
185,2117.847564810685,2534.027959792789
186,2095.402701234185,2155.867577427618
187,1900.4861060940532,2165.420616763663
188,2078.7286285714285,2202.49
189,2112.135500312545,2409.074097225561
190,1925.010465901418,1496.8845374746793
191,1962.4583598525332,2113.868973136551
192,2006.9637921503593,2397.00221116639
193,2066.124473939786,2268.7122045969572
194,2003.7607769637075,1988.812097461237
195,2015.5829331503926,2064.385166552329
196,1998.6843621129804,2205.5759529576053
197,2144.1887112276104,2402.4120401922237
198,2068.07443633191,2168.5597648895623
199,1978.941732197466,2023.038499344692
200,2059.771989613762,1913.790976955534
201,2040.373654904905,2156.2906343843842
202,1730.1810979060556,972.7119411431805
203,2051.867306976398,2172.589695480605
204,2092.835837183078,2104.575279182278
205,2000.914676390155,2447.5629292008507
206,2004.1693202694428,1873.8718105735863
207,2069.4612168023086,2215.1341212655298
208,2091.9785697979682,2191.2284271201916
209,2110.316436474076,2184.9871284980836
210,2066.6957528218863,2202.741476946623
211,2082.7230668168168,1888.3283596096096
212,2121.9182960893854,2198.4626119535337
213,2112.946134643888,2164.0543334113427
214,2228.3224233330207,2038.7137297195911
215,2129.4803816263347,1860.6767549124913
216,2117.6419366182618,2360.5126804848787
217,2182.050288472207,2098.4717907466993
218,2201.726510427865,2202.2273346233787
219,2172.8035913918393,1940.1386249301286
220,2113.8776770104896,2121.982298951049
221,2164.155510696902,2346.8203788250385
222,2138.7846844806763,2354.346939160628
223,2065.9795489564367,2900.7838632861744
224,2104.048054576805,1408.7554539320788
225,2098.043033214957,2448.279607579169
226,2020.1524641297567,2882.394385527137
227,2171.3187845995058,2211.30453820411
228,1837.7482190107876,899.0836556075717
229,2149.7447387115394,2118.144951827021
230,2082.636285897527,2316.917361457517
231,1888.4545722279488,1979.7840524223236
232,2175.9247381940327,2086.3766251728907
233,1879.9534967882023,1675.6679634488373
234,2159.2084962301033,2292.093444568556
235,2074.602583942975,2229.9498452447947
236,1814.9055173218244,1950.1542050624053
237,1993.3184614336951,2435.2513165660325
238,1855.5892315835058,1108.7818409276813
239,1999.8926820107256,1990.1437305677857
240,1783.2241475969624,1576.3573212374497
241,1866.250197828954,1866.2493253525413
242,1944.0042303752325,1739.3802026027242
243,1810.3260215870605,1574.05616750546
244,1765.664155787536,1951.4964274468962
245,1796.0898005375584,1574.5710567265526
246,1765.312306246125,1542.6652733054661
247,1825.9543873212215,1321.6699431222044
